session_idx,pupil_x,pupil_y,scene_target_x,scene_target_y
18,379.000,257.000,1684.610,659.582
18,277.000,257.000,534.997,898.270
18,302.000,258.000,791.818,904.455
18,327.000,261.000,1059.469,898.344
18,356.000,261.500,1379.564,841.458
18,378.000,268.000,1680.264,844.760
18,273.000,216.000,458.027,301.862
18,379.000,240.000,1761.046,364.869
19,325.000,212.000,969.840,221.117
19,351.000,217.000,1270.134,229.249
19,375.000,223.000,1564.337,218.606
19,264.000,220.000,342.897,429.010
19,294.000,221.000,658.540,454.624
19,323.000,225.000,946.790,459.539
19,348.000,230.000,1235.312,476.283
19,373.000,237.000,1530.721,471.565
19,264.000,239.000,357.377,720.617
19,301.000,238.500,729.464,704.720
19,328.000,244.000,1023.363,685.486
19,360.000,251.000,1391.016,657.319
19,382.000,254.000,1677.020,668.060
19,278.000,253.000,513.600,906.880
19,305.500,252.000,779.316,893.500
19,332.000,254.500,1067.232,887.792
19,357.000,258.000,1355.972,880.779
19,379.000,264.000,1647.162,881.101
19,272.000,210.000,429.519,287.262
19,300.000,209.000,735.661,279.834
20,269.000,211.000,408.964,309.369
20,296.000,212.000,704.134,313.431
20,322.000,213.000,985.086,299.509
20,346.000,218.000,1264.284,287.600
20,369.000,225.000,1548.383,291.445
20,270.000,224.000,447.639,515.369
20,297.000,225.000,731.362,511.523
20,323.000,227.000,1002.362,501.729
20,349.000,232.000,1298.505,503.193
20,371.000,238.000,1585.277,499.001
20,270.000,238.000,455.552,733.866
20,296.000,239.000,730.775,717.771
20,370.000,250.000,1590.511,691.324
20,298.000,252.000,761.880,911.196
20,348.000,257.000,1317.272,881.672
20,328.000,242.000,1086.752,708.697
20,352.000,247.000,1379.729,700.850
20,279.000,254.000,566.707,920.344
20,330.000,256.000,1101.274,912.994
20,377.000,267.000,1715.140,925.199
21,310.500,214.000,853.738,362.507
21,359.000,221.000,1383.244,336.258
21,276.000,230.000,526.264,625.964
21,337.000,233.000,1140.618,593.793
21,364.000,235.000,1436.916,561.211
21,272.000,219.000,488.966,476.042
21,301.000,218.000,782.096,453.830
21,327.000,219.000,1044.129,445.401
21,246.000,236.000,222.866,708.665
21,328.000,234.000,1058.861,665.527
21,249.000,251.000,258.483,948.194
21,306.000,222.000,845.450,510.031
21,353.000,227.000,1348.918,460.419
21,374.000,229.000,1631.785,427.804
21,373.500,243.000,1626.756,637.824
21,299.000,248.000,798.046,897.558
22,269.000,209.000,458.360,261.981
22,292.000,208.000,700.153,242.434
22,317.000,207.500,948.173,228.084
22,339.000,210.000,1183.097,214.204
22,268.000,220.000,454.421,450.205
22,292.000,220.000,703.637,429.990
22,316.000,220.000,949.335,415.761
22,338.000,223.000,1185.084,404.809
22,266.000,233.500,456.723,642.377
22,292.000,237.500,701.269,621.115
22,315.000,232.000,945.729,604.103
22,338.000,233.000,1181.237,587.539
23,280.000,209.000,590.611,281.669
23,302.000,210.000,815.197,266.434
23,324.000,210.000,1058.401,235.492
23,341.000,221.000,1224.702,375.838
23,270.000,226.000,496.014,567.988
23,293.500,226.000,745.801,551.793
24,283.000,213.000,636.225,405.177
24,308.000,212.000,884.093,393.644
24,331.000,215.000,1132.866,382.100
24,353.000,219.000,1375.157,369.766
24,279.000,226.000,584.882,601.667
24,299.000,223.000,816.341,516.325
24,226.000,242.500,614.539,693.188
24,170.000,213.000,849.893,677.868
25,266.000,218.000,411.034,362.556
25,295.000,217.000,687.337,349.526
